database,base_name,status,results_file,best_file,is_identical,similarity_percent,has_differences
UWV-V31,prompt-01-baseline,compared,005_prompt-01-baseline.txt_SQL.txt,003_prompt-01-baseline.txt_SQL.txt,True,100.0,False
UWV-V31,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,99.4,True
UWV-V31,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,True,100.0,False
UWV-V31,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,003_prompt-04-chain-of-thought.txt_SQL.txt,True,100.0,False
UWV-V31,prompt-05-tree-of-thought,compared,005_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
UWV-V31,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,False,57.8,True
UWV-V31,prompt-07-RunningExample,only_in_results,002_prompt-07-RunningExample.txt_SQL.txt,,,,
UWV-V31,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
UWV-V31,prompt-07-UWV,compared,001_prompt-07-UWV.txt_SQL.txt,001_prompt-07-UWV.txt_SQL.txt,False,97.4,True
UWV-V31,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
UWV-V31,prompt-07-paperj,only_in_results,002_prompt-07-paperj.txt_SQL.txt,,,,
BPI2016-V07,prompt-01-baseline,compared,005_prompt-01-baseline.txt_SQL.txt,003_prompt-01-baseline.txt_SQL.txt,False,87.6,True
BPI2016-V07,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,87.8,True
BPI2016-V07,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,96.7,True
BPI2016-V07,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,003_prompt-04-chain-of-thought.txt_SQL.txt,False,87.8,True
BPI2016-V07,prompt-05-tree-of-thought,compared,005_prompt-05-tree-of-thought.txt_SQL.txt,002_prompt-05-tree-of-thought.txt_SQL.txt,True,100.0,False
BPI2016-V07,prompt-06-processmining-knowledge,compared,004_prompt-06-processmining-knowledge.txt_SQL.txt,002_prompt-06-processmining-knowledge.txt_SQL.txt,True,100.0,False
BPI2016-V07,prompt-07-BPI2016,compared,001_prompt-07-BPI2016.txt_SQL.txt,001_prompt-07-BPI2016.txt_SQL.txt,False,81.8,True
BPI2016-V07,prompt-07-RunningExample,only_in_results,002_prompt-07-RunningExample.txt_SQL.txt,,,,
BPI2016-V07,prompt-07-RunningExample,only_in_results,001_prompt-07-RunningExample.txt_SQL.txt,,,,
BPI2016-V07,prompt-07-paperj,only_in_results,001_prompt-07-paperj.txt_SQL.txt,,,,
BPI2016-V07,prompt-07-paperj,only_in_results,002_prompt-07-paperj.txt_SQL.txt,,,,
BPI2016-V31,prompt-01-baseline,compared,005_prompt-01-baseline.txt_SQL.txt,003_prompt-01-baseline.txt_SQL.txt,False,93.2,True
BPI2016-V31,prompt-02-persona,compared,001_prompt-02-persona.txt_SQL.txt,001_prompt-02-persona.txt_SQL.txt,False,81.4,True
BPI2016-V31,prompt-03-few-shot-example,compared,001_prompt-03-few-shot-example.txt_SQL.txt,001_prompt-03-few-shot-example.txt_SQL.txt,False,87.5,True
BPI2016-V31,prompt-04-chain-of-thought,compared,003_prompt-04-chain-of-thought.txt_SQL.txt,003_prompt-04-chain-of-thought.txt_SQL.txt,False,75.6,True
